scenfile,max_agent_one_solvable,max_agent_all_solvable
Paris_1_256-even-12.scen,1060.0,310
maze-128-128-2-even-25.scen,310.0,20
empty-16-16-random-16.scen,120.0,70
empty-16-16-random-3.scen,120.0,70
Boston_0_256-even-8.scen,1000.0,220
Boston_0_256-even-16.scen,1000.0,220
random-64-64-10-even-8.scen,1000.0,200
den520d-even-2.scen,1000.0,240
empty-16-16-random-18.scen,120.0,70
ht_chantry-even-25.scen,1000.0,90
empty-48-48-random-25.scen,1150.0,220
random-32-32-20-even-15.scen,400.0,70
empty-16-16-random-7.scen,120.0,70
empty-32-32-random-3.scen,510.0,150
empty-48-48-even-10.scen,1150.0,220
empty-48-48-random-4.scen,1150.0,220
empty-48-48-random-20.scen,1150.0,220
empty-16-16-even-11.scen,120.0,70
warehouse-10-20-10-2-1-even-15.scen,1000.0,160
warehouse-20-40-10-2-1-even-6.scen,1000.0,310
empty-8-8-even-12.scen,30.0,30
empty-8-8-even-1.scen,30.0,30
warehouse-10-20-10-2-1-even-1.scen,1000.0,160
empty-8-8-random-8.scen,30.0,30
empty-32-32-random-13.scen,510.0,150
maze-32-32-4-even-15.scen,290.0,40
room-64-64-16-even-16.scen,730.0,60
Boston_0_256-even-3.scen,1000.0,220
empty-8-8-even-11.scen,30.0,30
ht_mansion_n-even-7.scen,1000.0,120
empty-48-48-even-21.scen,1150.0,220
Berlin_1_256-even-3.scen,1000.0,420
empty-48-48-random-21.scen,1150.0,220
empty-48-48-even-9.scen,1150.0,220
room-64-64-8-even-25.scen,650.0,50
empty-32-32-random-15.scen,510.0,150
empty-48-48-even-7.scen,1150.0,220
empty-32-32-even-23.scen,510.0,150
empty-8-8-random-4.scen,30.0,30
Berlin_1_256-even-23.scen,1000.0,420
Boston_0_256-even-2.scen,1000.0,220
empty-16-16-random-15.scen,120.0,70
random-32-32-20-even-25.scen,400.0,70
empty-32-32-random-20.scen,510.0,150
random-32-32-20-even-9.scen,400.0,70
empty-48-48-random-8.scen,1150.0,220
den312d-even-20.scen,940.0,80
ost003d-even-21.scen,1000.0,140
empty-48-48-random-6.scen,1150.0,220
empty-16-16-random-22.scen,120.0,70
ht_mansion_n-random-20.scen,1000.0,120
room-32-32-4-even-9.scen,340.0,50
maze-128-128-1-even-22.scen,160.0,20
maze-32-32-2-even-7.scen,200.0,30
empty-48-48-even-22.scen,1150.0,220
empty-16-16-random-8.scen,120.0,70
empty-16-16-even-22.scen,120.0,70
random-32-32-20-even-13.scen,400.0,70
random-32-32-10-even-8.scen,460.0,110
lt_gallowstemplar_n-even-4.scen,1000.0,80
empty-48-48-random-13.scen,1150.0,220
empty-32-32-even-12.scen,510.0,150
warehouse-10-20-10-2-1-even-14.scen,1000.0,160
maze-32-32-4-even-9.scen,290.0,40
empty-8-8-random-19.scen,30.0,30
empty-32-32-random-6.scen,510.0,150
ht_mansion_n-even-4.scen,1000.0,120
room-64-64-8-even-7.scen,650.0,50
empty-48-48-even-11.scen,1150.0,220
empty-48-48-random-17.scen,1150.0,220
empty-32-32-random-5.scen,510.0,150
maze-128-128-1-even-5.scen,160.0,20
empty-16-16-even-20.scen,120.0,70
empty-8-8-random-11.scen,30.0,30
