scenfile,max_agent_one_solvable
empty-16-16-even-22.scen,120
warehouse-10-20-10-2-1-even-25.scen,440
Berlin_1_256-random-4.scen,990
Paris_1_256-even-17.scen,730
den312d-random-22.scen,940
room-64-64-8-random-2.scen,550
Berlin_1_256-random-19.scen,1000
empty-32-32-even-16.scen,510
lt_gallowstemplar_n-random-9.scen,940
ost003d-random-1.scen,1000
random-32-32-10-even-17.scen,90
Berlin_1_256-even-19.scen,940
random-64-64-10-random-11.scen,1000
empty-16-16-even-21.scen,120
Berlin_1_256-even-4.scen,960
den312d-random-10.scen,820
empty-8-8-even-7.scen,30
Boston_0_256-random-22.scen,1000
warehouse-20-40-10-2-2-random-10.scen,1000
room-64-64-16-random-1.scen,680
maze-32-32-4-random-7.scen,240
den520d-random-8.scen,1000
empty-16-16-even-6.scen,120
warehouse-10-20-10-2-2-even-18.scen,480
maze-128-128-1-even-19.scen,150
den312d-even-16.scen,300
maze-32-32-2-random-15.scen,160
lt_gallowstemplar_n-random-12.scen,900
warehouse-20-40-10-2-1-random-9.scen,990
maze-128-128-10-random-12.scen,1000
warehouse-10-20-10-2-1-random-24.scen,990
random-64-64-20-random-8.scen,1000
room-64-64-16-even-13.scen,410
empty-8-8-random-24.scen,30
lt_gallowstemplar_n-random-15.scen,1000
room-64-64-16-random-14.scen,600
den520d-even-25.scen,850
maze-128-128-2-even-21.scen,270
maze-128-128-10-random-21.scen,990
empty-8-8-even-12.scen,30
lak303d-even-13.scen,810
warehouse-20-40-10-2-1-random-3.scen,990
lak303d-even-2.scen,860
den312d-even-12.scen,270
den520d-random-3.scen,1000
maze-32-32-4-random-6.scen,280
warehouse-20-40-10-2-2-even-16.scen,1000
empty-16-16-random-23.scen,120
random-64-64-20-even-22.scen,230
room-64-64-16-even-25.scen,380
random-32-32-10-even-24.scen,100
room-64-64-16-random-18.scen,620
Boston_0_256-random-11.scen,1000
warehouse-10-20-10-2-1-random-3.scen,990
maze-128-128-2-even-5.scen,270
maze-128-128-1-random-4.scen,140
ost003d-random-7.scen,1000
ost003d-even-19.scen,830
lak303d-random-2.scen,850
room-32-32-4-even-7.scen,120
Paris_1_256-even-14.scen,540
ht_chantry-even-14.scen,470
warehouse-20-40-10-2-1-even-18.scen,910
ost003d-random-12.scen,990
room-64-64-8-random-10.scen,600
empty-16-16-even-25.scen,120
Paris_1_256-even-4.scen,1060
Berlin_1_256-even-3.scen,980
empty-8-8-even-13.scen,30
Paris_1_256-random-4.scen,1000
room-64-64-8-random-4.scen,590
room-64-64-16-even-11.scen,400
warehouse-20-40-10-2-1-random-7.scen,1000
ht_mansion_n-random-21.scen,930
Berlin_1_256-even-23.scen,980
maze-128-128-10-random-16.scen,990
den520d-even-11.scen,860
warehouse-20-40-10-2-2-random-4.scen,1000
warehouse-20-40-10-2-2-even-6.scen,970
room-64-64-8-even-16.scen,300
ht_mansion_n-even-19.scen,560
empty-32-32-random-16.scen,510
ht_mansion_n-random-6.scen,950
lt_gallowstemplar_n-even-21.scen,620
Paris_1_256-random-19.scen,1000
empty-48-48-random-5.scen,990
room-32-32-4-random-20.scen,300
Berlin_1_256-even-14.scen,950
warehouse-10-20-10-2-1-random-16.scen,1000
ht_chantry-even-20.scen,460
random-32-32-10-even-4.scen,110
warehouse-10-20-10-2-2-random-9.scen,990
den520d-even-23.scen,870
room-32-32-4-even-8.scen,120
lt_gallowstemplar_n-even-11.scen,620
room-64-64-16-random-21.scen,630
ost003d-random-23.scen,990
random-64-64-20-random-3.scen,1000
random-32-32-10-random-5.scen,460
maze-128-128-1-random-7.scen,110
den312d-even-4.scen,290
room-32-32-4-even-19.scen,110
random-64-64-10-random-17.scen,990
ost003d-even-21.scen,820
empty-8-8-random-3.scen,30
maze-32-32-4-even-6.scen,170
random-64-64-10-even-22.scen,190
den312d-even-8.scen,290
lt_gallowstemplar_n-random-19.scen,790
den520d-random-10.scen,1000
random-32-32-20-random-1.scen,400
den520d-even-22.scen,870
ost003d-even-23.scen,810
lak303d-even-4.scen,950
maze-128-128-2-even-23.scen,260
ost003d-even-25.scen,820
warehouse-10-20-10-2-2-even-2.scen,470
ht_mansion_n-even-22.scen,600
empty-8-8-random-11.scen,30
room-64-64-8-even-12.scen,310
maze-32-32-2-even-25.scen,160
maze-32-32-2-even-24.scen,160
maze-32-32-2-random-22.scen,160
warehouse-10-20-10-2-1-random-25.scen,990
maze-32-32-2-even-12.scen,160
maze-128-128-10-random-6.scen,1000
ht_mansion_n-random-22.scen,990
Boston_0_256-random-3.scen,990
warehouse-20-40-10-2-2-even-19.scen,1000
empty-48-48-even-11.scen,1000
den312d-even-2.scen,290
room-32-32-4-even-5.scen,120
empty-32-32-even-21.scen,510
room-64-64-16-even-6.scen,400
ht_chantry-even-4.scen,470
room-64-64-8-even-7.scen,300
Berlin_1_256-random-25.scen,1000
maze-128-128-10-random-2.scen,1000
empty-48-48-random-8.scen,1000
warehouse-20-40-10-2-1-random-19.scen,1000
ost003d-random-5.scen,950
random-32-32-20-random-24.scen,400
empty-16-16-random-18.scen,120
room-64-64-16-random-8.scen,730
den520d-even-18.scen,860
random-32-32-20-random-19.scen,400
random-64-64-20-even-18.scen,210
ost003d-even-12.scen,810
ost003d-random-22.scen,910
den520d-random-14.scen,1000
ost003d-even-24.scen,800
warehouse-10-20-10-2-1-even-1.scen,450
random-64-64-10-even-1.scen,200
den520d-even-2.scen,880
warehouse-20-40-10-2-2-random-5.scen,1000
Paris_1_256-random-7.scen,990
den312d-random-16.scen,930
warehouse-10-20-10-2-1-random-1.scen,980
random-64-64-10-even-5.scen,200
den312d-even-22.scen,310
room-32-32-4-even-11.scen,100
maze-32-32-2-random-4.scen,170
maze-128-128-1-random-5.scen,40
empty-48-48-even-23.scen,1000
warehouse-10-20-10-2-2-even-9.scen,480
Berlin_1_256-random-5.scen,1000
random-32-32-10-even-15.scen,100
ht_chantry-random-10.scen,1000
room-32-32-4-random-14.scen,320
ost003d-even-6.scen,820
room-64-64-8-even-6.scen,300
warehouse-20-40-10-2-2-random-8.scen,1000
room-32-32-4-random-10.scen,300
random-64-64-10-random-6.scen,1000
warehouse-20-40-10-2-2-even-21.scen,1010
empty-16-16-even-8.scen,120
maze-128-128-10-even-20.scen,910
den520d-random-21.scen,990
Boston_0_256-random-14.scen,1000
warehouse-10-20-10-2-2-random-1.scen,1000
ht_mansion_n-random-25.scen,990
empty-32-32-even-2.scen,510
warehouse-10-20-10-2-2-random-24.scen,1000
warehouse-20-40-10-2-1-random-12.scen,1000
empty-16-16-even-7.scen,120
room-32-32-4-random-12.scen,240
random-64-64-10-random-4.scen,1000
Paris_1_256-even-22.scen,930
empty-32-32-even-22.scen,510
room-64-64-8-even-15.scen,280
maze-32-32-4-random-13.scen,260
warehouse-10-20-10-2-1-even-19.scen,440
ost003d-even-13.scen,830
random-64-64-20-random-18.scen,1000
warehouse-10-20-10-2-1-even-22.scen,460
